nome_municipio,sigla_uf,taxa_ano_anterior,meta_alfabetizacao,risco_%
Santo Augusto,RS,74.4,78.05,94.5
Presidente Castelo Branco,PR,76.24,76.81,94.1
Divina Pastora,SE,39.34,45.68,93.9
Viçosa,AL,40.03,46.3,93.0
Dom Pedro,MA,40.39,46.62,92.8
Mariópolis,PR,76.4,76.94,92.6
Dourados,MS,40.66,46.65,92.1
Leopoldo de Bulhões,GO,77.67,78.01,92.0
Formigueiro,RS,72.91,80.0,92.0
Francinópolis,PI,77.97,78.27,91.9
Ascurra,SC,67.38,80.0,91.8
Olho d'Água das Flores,AL,40.12,46.38,91.6
Novo Acordo,TO,39.24,45.59,91.1
Cruzaltense,RS,77.78,78.11,91.0
Santa Maria do Oeste,PR,76.25,76.81,90.8
São José do Cerrito,SC,66.81,77.0,90.7
Ipixuna do Pará,PA,39.7,46.0,90.6
Espumoso,RS,69.18,80.0,90.5
Anhanguera,GO,80.0,80.0,90.4
Rio do Pires,BA,36.5,43.13,90.4
Porto,PI,40.12,46.38,90.2
São Domingos,SC,71.49,78.68,90.0
Três de Maio,RS,74.21,79.17,89.7
Santo Antônio do Paraíso,PR,82.31,80.0,89.3
Tanhaçu,BA,58.73,62.26,89.0
Nova Laranjeiras,PR,77.48,77.85,88.9
Faxinalzinho,RS,78.18,78.45,88.8
Urupema,SC,80.09,80.0,88.7
Concórdia,SC,70.89,76.94,88.5
Resende,RJ,68.62,70.45,88.5
São Miguel do Iguaçu,PR,73.58,74.57,88.4
Atalanta,SC,71.12,72.52,88.4
São Miguel das Missões,RS,76.34,76.86,88.3
Campo Alegre de Lourdes,BA,36.68,43.29,88.2
Pérola,PR,78.4,78.63,88.2
Araças,BA,36.67,43.28,88.2
Lagoão,RS,70.11,80.0,88.1
Witmarsum,SC,79.96,79.97,88.1
Teixeira Soares,PR,77.31,77.71,88.1
Palmitinho,RS,73.89,80.0,88.0
Santa Helena,SC,78.34,78.58,87.8
Jardinópolis,SC,81.82,80.0,87.8
Pinheirinho do Vale,RS,66.19,80.0,87.8
Jacundá,PA,40.47,46.69,87.8
Coronel Freitas,SC,74.28,75.16,87.7
Santo Antônio do Caiuá,PR,82.83,80.0,87.6
Barcelona,RN,55.27,59.37,87.6
Cunha Porã,SC,76.72,80.0,87.5
Ijuí,RS,72.06,77.0,87.5
Major Isidoro,AL,40.07,46.33,87.4
Luiz Alves,SC,70.7,80.0,87.3
Vale do Sol,RS,74.36,80.0,87.3
Cametá,PA,40.41,46.63,87.2
Mairi,BA,40.81,46.99,87.2
Caldas Brandão,PB,54.92,59.08,87.0
Santa Mariana,PR,73.65,74.63,86.5
Santo Antônio da Patrulha,RS,74.3,77.72,86.4
Ajuricaba,RS,69.32,80.0,86.4
São João do Sabugi,RN,49.58,54.48,86.4
Itambaracá,PR,79.12,79.25,86.3
Pinhalzinho,SC,72.34,78.51,86.2
Itabela,BA,31.1,38.14,86.1
Matipó,MG,72.02,80.0,86.1
São José de Espinharas,PB,56.3,60.23,85.9
Itatiaia,RJ,65.0,67.45,85.8
Taquarana,AL,44.02,49.8,85.8
Candeal,BA,30.92,37.97,85.7
Bonfinópolis de Minas,MG,74.47,80.0,85.7
Igarassu,PE,62.61,65.47,85.7
Bento Gonçalves,RS,74.0,77.77,85.7
Apiacá,ES,58.4,61.98,85.7
Bom Sucesso do Sul,PR,82.0,80.0,85.6
Durandé,MG,62.74,78.46,85.5
Xique-Xique,BA,31.02,38.06,85.5
Juazeiro,BA,31.18,38.21,85.4
Novo Aripuanã,AM,78.15,80.0,85.4
Rancho Alegre D'Oeste,PR,78.04,78.33,85.2
São Paulo das Missões,RS,77.73,78.07,85.0
São Lourenço do Sul,RS,74.52,79.22,84.9
São Sepé,RS,76.88,80.0,84.7
Jequitaí,MG,39.93,46.21,84.6
Meleiro,SC,54.81,58.99,84.6
Igrejinha,RS,77.71,80.0,84.5
Turuçu,RS,82.83,80.0,84.3
Maceió,AL,39.48,45.58,84.2
Lajedão,BA,58.38,61.97,84.1
Chã Preta,AL,43.85,49.65,84.1
Nazário,GO,79.0,79.15,84.1
Ernestina,RS,61.92,64.9,84.0
Parnaíba,PI,31.0,38.04,84.0
Carmo,RJ,43.6,49.44,83.9
Castelândia,GO,80.99,80.0,83.9
Chopinzinho,PR,80.73,80.0,83.9
São José do Vale do Rio Preto,RJ,71.41,72.76,83.8
Santo Antônio do Planalto,RS,77.14,77.57,83.7
São Jerônimo,RS,76.2,80.0,83.7
Quatipuru,PA,48.89,53.99,83.6
Piraquara,PR,58.33,61.92,83.5
Leoberto Leal,SC,75.0,75.76,83.4
São José da Boa Vista,PR,80.7,80.0,83.3
Terra Nova,PE,62.03,64.99,83.2
Imbituva,PR,80.43,80.0,83.1
Verê,PR,81.02,80.0,83.1
Catuípe,RS,81.74,80.0,83.0
São Gonçalo dos Campos,BA,36.4,43.04,83.0
Gramado,RS,78.92,79.21,82.9
Itagibá,BA,36.92,43.51,82.8
General Carneiro,MT,56.84,80.0,82.8
São Vicente do Sul,RS,73.71,77.73,82.7
São Jorge do Ivaí,PR,82.98,80.0,82.6
Malacacheta,MG,68.29,77.62,82.6
Nova Prata do Iguaçu,PR,80.81,80.0,82.5
Morro do Chapéu,BA,36.21,42.87,82.5
Santana dos Garrotes,PB,32.69,39.63,82.3
Figueirão,MS,58.57,62.12,82.3
Nossa Senhora Aparecida,SE,38.1,44.57,82.3
Indaiabira,MG,56.13,60.09,82.2
Salete,SC,76.61,78.29,81.9
São Martinho da Serra,RS,66.45,77.0,81.9
São Pedro do Piauí,PI,49.25,54.3,81.9
Campo Alegre de Goiás,GO,79.9,79.91,81.8
Morrinhos do Sul,RS,78.98,80.0,81.8
São Salvador do Tocantins,TO,47.62,52.91,81.8
Vargeão,SC,80.87,80.0,81.7
Mara Rosa,GO,69.6,71.26,81.7
Nova Araçá,RS,82.28,80.0,81.5
Santo Antônio do Palma,RS,72.22,73.44,81.5
Malhada de Pedras,BA,70.36,71.89,81.4
Jaguapitã,PR,76.25,76.81,81.3
Itaúna do Sul,PR,77.38,77.77,81.2
São Luiz Gonzaga,RS,79.22,80.0,81.2
Marilena,PR,84.46,80.0,81.1
Belém,AL,55.08,59.21,81.1
Junqueiro,AL,53.3,57.72,81.1
Rio do Oeste,SC,80.3,80.0,80.9
São João da Urtiga,RS,80.59,77.05,80.7
Lambari D'Oeste,MT,41.08,80.0,80.7
São Sebastião,AL,36.66,43.27,80.6
São José do Seridó,RN,36.3,42.95,80.6
Ruy Barbosa,BA,38.25,44.71,80.6
São Félix do Coribe,BA,54.89,59.05,80.5
Ressaquinha,MG,55.59,59.64,80.5
Floresta,PR,76.39,76.93,80.5
Nísia Floresta,RN,32.03,39.14,80.5
Sorriso,MT,79.08,79.21,80.5
Passo Fundo,RS,58.68,62.1,80.4
Arapoti,PR,75.42,76.12,80.4
Jesuítas,PR,85.83,80.0,80.4
Campo do Tenente,PR,80.36,80.0,80.3
Canela,RS,76.13,78.87,80.3
Maricá,RJ,56.64,60.52,80.3
São Vicente Ferrer,PE,48.62,53.76,80.3
Planura,MG,45.91,51.44,80.3
Cerrito,RS,75.07,75.82,80.2
Aurilândia,GO,75.98,76.59,80.2
São José do Brejo do Cruz,PB,40.0,46.27,80.2
Dois Irmãos do Tocantins,TO,48.67,53.8,80.0
Pinhais,PR,62.74,65.58,80.0
Jaquirana,RS,69.4,70.35,80.0
Rio Quente,GO,79.26,79.37,80.0
Viamão,RS,58.18,62.36,79.9
Ilha Grande,PI,39.89,46.17,79.9
Braço do Trombudo,SC,62.17,65.11,79.8
Ribas do Rio Pardo,MS,34.35,41.16,79.8
Lacerdópolis,SC,70.0,71.59,79.7
Delmiro Gouveia,AL,31.11,38.15,79.7
Porto Lucena,RS,74.94,78.78,79.6
Marajá do Sena,MA,83.33,80.0,79.6
Jussara,GO,58.98,62.46,79.4
Ivaí,PR,84.6,80.0,79.4
Casimiro de Abreu,RJ,54.93,59.09,79.4
Coxim,MS,39.69,45.99,79.3
Correntina,BA,36.71,43.32,79.3
Rio de Janeiro,RJ,56.19,60.14,79.3
Cruz Machado,PR,80.66,80.0,79.2
Aratiba,RS,82.29,80.0,79.2
Glaucilândia,MG,57.14,60.93,79.1
Nazaré da Mata,PE,54.74,58.93,79.1
Vale Verde,RS,85.54,80.0,79.1
Santa Mônica,PR,78.67,78.86,79.1
Presidente Kubitschek,MG,75.75,76.39,79.1
Santa Rosa de Goiás,GO,80.22,80.0,79.0
Ibiam,SC,65.6,67.95,78.9
Três Cachoeiras,RS,86.1,80.0,78.8
Rio Tinto,PB,72.16,78.16,78.8
Capela,AL,41.23,47.36,78.8
Rio Branco do Ivaí,PR,69.75,71.38,78.7
Erval Grande,RS,84.57,80.0,78.7
Esmeralda,RS,84.43,80.0,78.7
Piau,MG,29.63,36.74,78.6
Santa Isabel do Ivaí,PR,84.22,80.0,78.6
Anori,AM,74.08,76.6,78.6
Antônio Carlos,MG,72.16,78.32,78.6
Água Santa,RS,64.61,67.13,78.6
Zortéa,SC,65.06,67.5,78.5
Areal,RJ,62.45,65.34,78.5
Porto Alegre do Norte,MT,31.09,38.13,78.5
Arapiraca,AL,39.44,45.77,78.5
Goioerê,PR,70.49,72.0,78.4
Agrolândia,SC,81.23,80.0,78.4
Três Palmeiras,RS,79.88,80.0,78.3
Lapa,PR,81.08,80.0,78.3
Venâncio Aires,RS,76.1,78.41,78.3
Novorizonte,MG,68.05,69.97,78.2
Senador Salgado Filho,RS,83.97,80.0,78.2
Campo Bom,RS,77.45,77.73,78.1
Paula Freitas,PR,77.55,77.91,78.1
Giruá,RS,77.82,76.85,78.0
Dois Irmãos do Buriti,MS,38.16,44.63,78.0
Ibicaré,SC,75.69,76.34,78.0
Cachoeira Dourada,MG,80.57,80.0,78.0
Inaciolândia,GO,76.2,76.77,78.0
Malhada dos Bois,SE,40.0,46.27,77.9
Valença,BA,31.04,38.08,77.9
Santa Izabel do Oeste,PR,82.42,80.0,77.9
Paripueira,AL,53.42,57.82,77.9
Joca Claudino,PB,39.7,46.0,77.8
São José de Piranhas,PB,34.1,40.93,77.8
Erval Seco,RS,67.41,69.44,77.8
Una,BA,37.89,44.38,77.7
Parauapebas,PA,54.32,58.58,77.6
Riachão do Dantas,SE,39.26,44.45,77.6
Ibitiara,BA,62.17,65.11,77.6
Pendências,RN,40.87,47.04,77.6
Breves,PA,44.0,49.78,77.6
Celso Ramos,SC,77.35,77.74,77.6
Santana do Itararé,PR,78.27,78.52,77.5
Piranhas,GO,78.1,78.38,77.4
União da Vitória,PR,74.94,75.71,77.4
Rio Largo,AL,36.89,43.48,77.4
Formoso,MG,62.46,64.21,77.3
Ilicínea,MG,45.97,51.49,77.1
Prudentópolis,PR,82.7,80.0,77.1
São Jorge,RS,76.67,77.17,77.0
Coqueiros do Sul,RS,86.57,80.0,76.9
Canaã,MG,57.75,76.58,76.9
Bela Vista do Toldo,SC,86.2,80.0,76.8
Candelária,RS,75.15,76.07,76.8
Mineiros,GO,80.26,80.0,76.8
Caibi,SC,76.68,76.16,76.7
Anagé,BA,36.54,43.17,76.7
Diamante D'Oeste,PR,67.21,69.28,76.7
Rio dos Cedros,SC,60.74,63.92,76.7
Água Fria de Goiás,GO,55.81,59.82,76.6
Boca do Acre,AM,55.02,62.56,76.6
Paraíso,SC,85.76,80.0,76.5
Xambrê,PR,73.84,74.79,76.5
Guadalupe,PI,48.9,54.0,76.5
Jurema,PE,53.46,57.86,76.5
Tupanatinga,PE,68.57,70.41,76.5
Pão de Açúcar,AL,47.65,52.93,76.4
São Francisco de Goiás,GO,58.94,62.43,76.4
Tijucas do Sul,PR,78.76,78.94,76.4
